ulasan,rasa,sambal,keramaian,kenyamanan,pelayanan,rating,sentimen
Lumayan enak,NETRAL,NETRAL,NETRAL,NETRAL,NETRAL,5,1
"Mahal banget, rasanya kurang",BURUK,NETRAL,NETRAL,NETRAL,NETRAL,2,0
Mahal bingits,BURUK,BURUK,NETRAL,BURUK,BURUK,2,0
"Mahal di design, rasanya hambar",BURUK,NETRAL,NETRAL,NETRAL,NETRAL,2,0
Mahal di tempatnya aja. Rasa makanannya ga ada yg spesial,BURUK,NETRAL,NETRAL,BURUK,NETRAL,1,0
Mahal untuk ukuran cuma segitu,NETRAL,NETRAL,NETRAL,BURUK,NETRAL,1,0
Makan apapun disini gak pernah kecewa..apapun bentuk masakan ?? disini rasanya ajaib..gak biasa dan harga masuk akal..ada rasa ada harga..sukses terus buat hoghock..God bless??,BAGUS,NETRAL,NETRAL,BAGUS,BAGUS,5,1
MAKAN AYAM GEPREK MURAH BANGET WOI ??,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,4,1
"makan di sini bener-bener deh udah pertama masuk BAU BANGET, lalu pelayanan nya sangat sangat buruk, karyawan ceweknya termasuk yang di kasir nyolotnya kebangetan, padahal kita makan di situ bayar loh, gak gratis,, semoga dikasih training lagi deh karyawannya",NETRAL,NETRAL,NETRAL,BURUK,BURUK,2,0
"Makan di sini hari Minggu jam 8 malam. Makanan nya sdh banyak yg habis. Pelayanan yg sangat lamban. Menunggu sekitar 15 menit untuk ayam pop yg dingin dan info bahwa ayam gulai sdh habis. Bad service, bad food quality ????. Not recommended and i’ll never return to this place again.",BURUK,NETRAL,NETRAL,BURUK,BURUK,1,0
"Makan di sini, kenyang banget, puas pokoknya",NETRAL,NETRAL,NETRAL,BAGUS,NETRAL,4,1
"Makan disini sekeluarga, 2 dewasa, 1 anak 5thn, 1 balita 15bln, posisi anak yang besar uda triak laper laper, tapi karena penuh kita waiting list. Dapat waiting list no 1, tp gak dapat2 meja malah yg dibawah2 kita dapat duluan, akhirnya nanya, eh malah ditanya uda WL? Begitu kita bilang kita no. 1 di listnya baru sibuk nyariin saung.

Pesan ikan bakar parape, bagian ekor kurang mateng, masih benyek2 gt.
Pesan udang goreng tepung, ada beberapa udang goreng yang tepungnya kagak mateng juga.
Pesan genjer, asin pake bgt.

Next aih kalo mau kesini mikir2 lg ??. Cuma menang suasana.",BURUK,NETRAL,BURUK,BURUK,NETRAL,1,0
makan ikan nila di sini dalemnya msh mentah . ga mau makan di sini lagi . mnta tanggung jawab malah di goreng lg . alhasil dalem'a blm mateng juga luarnya pun gosong,BURUK,NETRAL,NETRAL,BURUK,BURUK,1,0
"Makan kesini bareng temen-temen. Mau order langsung per plate, pelayannya kekeuh mau saji di meja. Kita tetep ga mau disaji di meja. Pelayannya ngejek pake bahasa padang, gue ga ngerti apa tapi 4 temen gue yg dr padang tersinggung.

Rasa okelah. Cuma dengan perlakuan pelayan begitu, mikir2 lg buat balik kesana.",NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
Makan menu Asian Bolognais katsu nya ga mateng. Masih frozen. Di ganti katsu nya tp fusili nya ga di panasin jd dingin yg panas cuma katsu. Pesen beberapa makanan dan dateng nya lama bngt. Kalau ga di ingatin ga di masak kayaknya,BURUK,NETRAL,NETRAL,BURUK,BURUK,1,0
"Makan siang di Gyu Kaku MOI, protokol covid-19ny bikin kita makin nyaman. Ditambah pelayanan dan penjelasan dari Mas Dhirga bikin makin puas makan di sini. Recomended deh!!!",NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,5,1
"Makan siang di sini passsss banget.
Pas enak nya, pas harganya, pas rasanya ????
Yg aku suka disini ada nasi merah. Jamur crispy nya enyakkk, kangkung hotplate nya not bad lah.
Jus nya selain tampilannya bagus, rasanya jg enak.",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,4,1
Makanan asin sekali. Staf wanita terlihat tidak senang ketika kami ingin memesan lebih banyak dan tidak sabar,BURUK,NETRAL,NETRAL,BURUK,BURUK,1,0
Makanan asin sekali. Staf wanita terlihat tidak senang ketika kami ingin memesan lebih banyak dan tidak sabar,BURUK,NETRAL,NETRAL,BURUK,BURUK,1,0
Makanan biasa aja dan servicenya jelek banget jadi tuh kita pertama harus mesen makanan dulu habis itu nunggu buat kursi dan pas udah dapet kursi nunggu lagi buat dapet makan habis itu waiternya cuman planga plongo doang dan geraknya lama... banget. Awalnya tuh gw sampe disana jam 13.00 nah pas dapet kurusi tuh jam 14.30 jadi gw nunggu 1.30 jam buat kursi doang . Sebelom gw dapet kursi gw tanya tanya sama masnya gw panggil panggil tuh di diemin doang sampe berkali kali . Gw gak bisa recomend resto ini ke siapapun gw bener bener kecewa,NETRAL,NETRAL,BURUK,BURUK,BURUK,1,0
"Makanan biasa aja, menu sedikit, karedok rasa hambar, ikan bakar ga ada spesialnya, nasi liwet dan tutug oncom biasa aja, hanya bagus di pengaturan waiting list aja. Kyknya ga akan kesini lagi ??",NETRAL,NETRAL,NETRAL,NETRAL,NETRAL,1,0
Makanan cepat sampai,NETRAL,NETRAL,NETRAL,NETRAL,BAGUS,5,1
"makanan dan pelayanannya worst banget.. rasa makanannya kaya amateur baru belajar masak.. makanan sudah dipesan dan diulang pada saat pesanan dibuat tapi ternyata gak diinput, baru di cek setelah 45 menit nunggu.. sangat tidak recommended..",BURUK,NETRAL,NETRAL,BURUK,BURUK,1,0
"Makanan dan suasana memang lumayan bagus, pelayanan parkir juga baik, namun pelayanan pemesanan meja di depan sangat berbelit2 dan tidak ramah, kami harus menunggu lama di meja pendaftaran, ujung2nya tetap pesan di saung.
Tidak direkomendasikan.",BAGUS,BAGUS,NETRAL,NETRAL,BURUK,2,0
"Makanan datang lama 1jam lebih (tidak ramai)..
Sate dingin n keras..
Jamur dingin..
Ikan kurang fresh..
Ikan dingin..
Cumi dingin..
Rasa biasa..
Kurang persiapan..",BURUK,NETRAL,NETRAL,NETRAL,BURUK,2,0
Makanan disiapkan dengan waktu yang sangat lama,NETRAL,NETRAL,NETRAL,BURUK,BURUK,2,0
"Makanan disini terlalu mahal banget dan qualitasnya menurun. Hidangannya agak lama penyajiannya dan sering misscomunication antara sesama pegawainya. Pesen lidah buaya bilangnya ngga ada eh tiba"" di kirim aja ke meja lidah buayanya dan tetep kita cancel orderannya krna di awal udah kita ganti orderan tersebut.",NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
Makanan enak,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,4,1
"Makanan enak semua apalagi sama dagingnya fresh smua, waiter nya cekatan kalo habis selalu ditawarin lagi sama mba desi the best",BAGUS,NETRAL,NETRAL,NETRAL,BAGUS,4,1
"Makanan enak, pelayanan bagus dan tempatnya bagus banget. Sangat cocok utk acara keluarga dan arisan",BAGUS,NETRAL,NETRAL,BAGUS,BAGUS,5,1
"Makanan enak, pesan cireng, pisang goreng, red velvet, nasi goreng, black tea dam kopi(lupa nama kopinya di menu) untuk rasa makanan rasa rumahan sekali. Tempatnya asik buat nongkrong bersama teman, pasangan ataupun keluarga. I'll be back for sure",BAGUS,NETRAL,NETRAL,BAGUS,BAGUS,4,1
Makanan enak. Pelayanan yang lebih baik. Pengalaman bersantap terbaik yang pernah saya alami dalam waktu yang lama. Sangat direkomendasikan.,BAGUS,NETRAL,NETRAL,BAGUS,BAGUS,5,1
Makanan Indonesia yang enak dengan harga yang sangat wajar. Selalu saya pergi ke tempat ini untuk makanan Indonesia yang enak.,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
"Makanan khas nusantara yang nggak bikin kantong menjerit, soal rasa balik ke masing-masing selera, but so far is so good for me..",BAGUS,NETRAL,NETRAL,BAGUS,NETRAL,5,1
"Makanan khas sunda yang pertama kali dan terakhir gue datengin:( bad service bangettttt, gak tau lagi sial atau gimana ya dapet service yang orangnya jutek dan gak banget gak suka parah!!! Tempat sih oke cuman restaurantnya gak keliatan jadi tempatnya di bawah gitu belakang toko jajanan apa gitu lupa. Parkiran biasa aja, makanan lama banget datengnya terus rasanya gak begitu enak ada kolam ikannya, beli makanan ikannya lumayan mahal dibanding ditempat lain Rp,4000 di cup kecil gitu. Waktu kesini lagi hujan jadi ga bisa pilih tempat yang menurut gue oke. Harganya standard",NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
Makanan kok harganya mahal banget,NETRAL,NETRAL,NETRAL,BURUK,NETRAL,1,0
Makanan lezat,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,4,1
Makanan ngak ada rasa,BURUK,NETRAL,NETRAL,NETRAL,NETRAL,2,0
Makanan Nusantara dan khas Jawa terenak yang pernah saya coba,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
"Makanan nya enak banget, good quality, harganya oke, temen aku hari ini ulang taun ada free bun buat yang ulang tahun. Ada promo new normal juga 15%. Buat orang tua diatas 65 taun, ada promo 25%. Disediain air panas buat cuci alat makan dan mangkok.",BAGUS,NETRAL,NETRAL,BAGUS,BAGUS,4,1
"Makanan nya enak dan fresh banget.. recommended guys.. disini ada dapet free buns juga buat yang lagi ulang tahun.. disini disediakan aer panas buat sterilin alat makan nya.. ada promo new normal juga 15 %. Disini protokol kesehatannya juga oke banget, sebelom masuk cek suhu.",BAGUS,NETRAL,NETRAL,BAGUS,BAGUS,5,1
Makanan nya enak.. signature dish nya enak banget .. nasi hainam nya wangi .. menu baru nya cakwe wajib coba,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
"Makanan nya lama datang nya, space di Lt. 2 dibatasi akses/menggunakan nya hanya 2jam, harus bawa uang cash yg cukup karena ketika ingin menggunakan Debit Card BCA hrs ada minimum ordered",NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
Makanan nya mantap. Harga masih terjangkau. Untuk suasana nya juga family friendly. Protokol kesehatan pun di jalankan dengan baik. Overall cukup puas dengan makanan dan pelayanan nya.,BAGUS,NETRAL,NETRAL,BAGUS,BAGUS,5,1
makanan overpricey dan tidak sesuai ekspektasi,BURUK,NETRAL,NETRAL,BURUK,NETRAL,1,0
"makanan rasanya standar, sambel enak tapi pelayanannya benar-benat tidak memuaskan & tidak menyenangkan. kita masih makan tiba-tiba kasir datang dan memberikan bill padahal kita jelas-jelas masih mau nambah. selain itu diawal tidak di infokan prosedur pembayarannya seperti apa. apakah kita harus bayar diawal atau bagaimana karena kita pelanggan baru. saya pribadi TIDAK AKAN balik lagi untuk makan disini.",NETRAL,NETRAL,NETRAL,BURUK,BURUK,2,0
"Makanan Seafood murah yg bisa dinikmati oleh siapa saja...
Pelayanannya super cepat! Baru pesan gaq perlu menunggu lama makanan sudah datang..",BAGUS,NETRAL,NETRAL,BAGUS,BAGUS,4,1
"Makanan sih ok, tapi waitress nya perlu di training keramah tamahan lagi ya, jutek banget diminta tolong potoin aja, kursi nya jg lengket di celana, perlu di plitur lagi deh",NETRAL,NETRAL,NETRAL,BURUK,BURUK,2,0
"Makanan sunda yang rasanya biasa saja, pesan keredok, gurame goreng, ayam bakar, tidak ada rasa yang istimewa",NETRAL,NETRAL,NETRAL,NETRAL,NETRAL,1,0
Makanan tidak pedas seperti makanan Indonesia. Sudah jauh2 kesini ternyata rasanya sama saja dengan rumah makan lain. nantinya jadi berpikir 2 kali mau kesini lagi,NETRAL,BURUK,NETRAL,BURUK,BURUK,1,0
Makanan tidak pedas seperti makanan Indonesia. Sudah jauh2 kesini ternyata rasanya sama saja dengan rumah makan lain. nantinya jadi berpikir 2 kali mau kesini lagi,BURUK,NETRAL,NETRAL,BURUK,NETRAL,1,0
Makanan tidak sesuai foto,BURUK,NETRAL,NETRAL,BURUK,NETRAL,1,0
Makanan yang ada itu-itu aja,NETRAL,NETRAL,NETRAL,BURUK,NETRAL,2,0
Makanan yang datang sesuai foto di menu,NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,5,1
Makanan yang datang sesuai pesanan,NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,5,1
Makanan yang datang tidak sesuai orderan,BURUK,NETRAL,NETRAL,BURUK,BURUK,2,0
"Makanan yang dicoba (ayam penyet, ayam geprek) tidak memberikan citra rasa indonesia. rasanya sangat aneh untuk dimakan",BURUK,NETRAL,NETRAL,BURUK,NETRAL,1,0
Makanan yang dihidangkan sudah tidak hangat,BURUK,NETRAL,NETRAL,BURUK,NETRAL,1,0
Makanan yang disajikan sesuai order,NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,5,1
Makanan yang disajikan sudah dingin dan tidak enak. tidak akan datang kesini lagi untuk kedua kalinya!,BURUK,NETRAL,NETRAL,BURUK,NETRAL,1,0
Makanan yang disajikan sudah dingin dan tidak enak. tidak akan datang kesini lagi untuk kedua kalinya!,BURUK,NETRAL,NETRAL,NETRAL,NETRAL,2,0
Makanan yang disajikan tidak hangat,BURUK,NETRAL,NETRAL,BURUK,NETRAL,3,0
Makanan yang disediakan cukup enak dan wangi. Ayam mozarella nya enak sekali seperti makanan di restoran mahal,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,4,1
"Makanan yang punya banyak pilihan dan serasa bintang 5.
Pelayanan yang sangat friendly dan cukup cepat makanan nya.",BAGUS,NETRAL,NETRAL,NETRAL,BAGUS,4,1
"Makanan yang sangat luar biasa, ambiance tempat yang menarik serta nyaman untuk berkumpul bersama keluarga",BAGUS,NETRAL,NETRAL,BAGUS,NETRAL,5,1
Makanan yg dipesan lama sekali datangnya,NETRAL,NETRAL,NETRAL,BURUK,BURUK,2,0
Makanan yg disajikan buat saya muak karena ada rambut. astaga... cukup sekali deh ini terjadi,BURUK,NETRAL,NETRAL,BURUK,BURUK,1,0
Makanannya asin asin semua. Tahu nya sih enak sayang keasinan juga. Yang lainnya biasa aja dengan harga yang terbilang mahal.,BURUK,NETRAL,NETRAL,BURUK,BURUK,1,0
"Makanannya biasa aja, rame banget tapi diatur dengan baik.",NETRAL,NETRAL,BAGUS,NETRAL,BAGUS,,0
"Makanannya biasa aja, satpam nya kurang ramah & pesimis, mesen es teh manis ga nyampe² sampe pengen pulang, akhirnya cancel aja, cuma menang di kolemnya",NETRAL,NETRAL,NETRAL,BURUK,BURUK,2,0
"Makanannya biasa aja, satpam nya kurang ramah & pesimis, mesen es teh manis ga nyampe² sampe pengen pulang, akhirnya cancel aja, cuma menang di kolemnya",NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
"Makanannya cepet keluarnya ga perlu nunggu lama, buat udonnya enak banget sama dessertnya lucu lucu sama enak. Buat harga ya lumayan lah sebanding sama rasanya",BAGUS,NETRAL,NETRAL,BAGUS,BAGUS,4,1
makanannya cukup enak enak semua. Tempatnya cukup luas dan parkirannya lumayan mudah.,BAGUS,NETRAL,NETRAL,BAGUS,BAGUS,5,1
"Makanannya dateng lama bgt, dan pas dateng makanannya dingin. rasa makanannya pun biasa aja. Saya pesan mie goreng dan ada KARET di dalam nya.",BURUK,NETRAL,NETRAL,BURUK,NETRAL,1,0
"Makanannya dingin, ga ada bedanya sama warteg padahal harganya mahal banget kalo warteg wajarlah dingin karna murah.",BURUK,NETRAL,NETRAL,BURUK,NETRAL,1,0
Makanannya enak dan protokol kesehatan. Harga cukup ok,BAGUS,NETRAL,NETRAL,BAGUS,BAGUS,5,1
"Makanannya enak, fresh semua seafoodnya. Ga pernah kecewa makan di sini, pelayanannya sangat baik.",BAGUS,NETRAL,NETRAL,NETRAL,BAGUS,5,1
"Makanannya enak2, pelayanannya ramah dan baik... Jus nya enak2 dan berkualitas tempatnya nyaman untuk nongkrong bersama teman atau keluarga tercinta",BAGUS,NETRAL,NETRAL,BAGUS,BAGUS,4,1
Makanannya fresh,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
Makanannya fresh dan enak,BAGUS,NETRAL,NETRAL,BAGUS,NETRAL,4,1
Makanannya gak ada yg spesial. Jauh dari ekspektasi. Dan yg terpenting manajemen keluhan dari konsumen nya nol besar. Cukup tau aja dgn makanan dan servicenya,BURUK,NETRAL,NETRAL,BURUK,BURUK,1,0
Makanannya halal,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
Makanannya hambar,BURUK,NETRAL,NETRAL,BURUK,NETRAL,1,0
"Makanannya hambar, ada yang terlalu pedas",BURUK,BURUK,NETRAL,BURUK,NETRAL,1,0
Makanannya kurang enak dan harganya mahal,BURUK,NETRAL,NETRAL,BURUK,NETRAL,1,0
Makanannya kurang enak dan harganya mahal,BURUK,NETRAL,NETRAL,BURUK,NETRAL,1,0
Makanannya kurang enak. Pisang bakarnya keras dan ga manis. Gurame special nya B aja.,BURUK,NETRAL,NETRAL,NETRAL,NETRAL,1,0
Makanannya lama banget datang,NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
"Makanannya lama banget datengnya, padahal cuma soto doang. Sisanya roasted chicken juga ayamnya gak fresh, keras, gak ada rasanya. Pas ditanya, emang wajar ayamnya keras bgini? Pelayannya jawab “iya normal emang kaya gitu”. Pelayanan lamban, cuma jual suasana aja. Overall, Not recommended!",BURUK,NETRAL,NETRAL,BURUK,BURUK,1,0
Makanannya mengecewakan,BURUK,NETRAL,NETRAL,BURUK,NETRAL,1,0
Makanannya nggak enak sama sekali dan pelayanannya mengecewakan.,BURUK,BURUK,NETRAL,BURUK,BURUK,1,0
Makanannya not bad,NETRAL,NETRAL,NETRAL,NETRAL,NETRAL,5,1
"Makanannya sangat wangi, bikin ketagihan",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
"makanannya super enakk... dagingnya juga berkualitas banget. pelayanannya juga oke dari semua karyawannya, super sigap mas2 dan mba nya, inisiatifnya untuk kenyamanan pelanggannya top banget. thank you mba desi.",BAGUS,NETRAL,NETRAL,BAGUS,BAGUS,5,1
Makanannya tidak enak,BURUK,BURUK,NETRAL,BURUK,NETRAL,2,0
Makanannya wangi banget! Suka makan disini,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
"Makananya enak sekali dan sangat bersih,semua terlampir temperatur nya ????,dlm segi porsi juga pas sekali. keep a good work",NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,4,1
"Makananya porsi banyak cuman sayang rasanya kurang enak,semua makanannya dingin,,, bumbunya tidak meresap... Kejunya ga berasa keju...",BURUK,NETRAL,NETRAL,NETRAL,NETRAL,1,0
"Mampir ke sini bukan buat makan dimsum, tapi yg agak quick lunch dan porsinya banyak. Order “Nasi Goreng Lapcong” harganya 32K.
Utk rasanya udah lumayan enak dgn bumbu yg pas. Pelayanannya baik, tempatnya juga nyaman dan ga ramai dgn social distancing yg terjaga antar meja.",BAGUS,NETRAL,NETRAL,BAGUS,BAGUS,5,1
Management kurang baik.pesanan meja lain yg datang setelah kami dihidangkan lebih dahulu padahal ada menu yg sama.Pesanan kami dihidangkan satu2 dengan jarak yg lama. At worst ayam jahe favorit kami tidak dibuat setelah menunggu lama.verry bad experience.,NETRAL,NETRAL,NETRAL,BURUK,BURUK,2,0
Manajemen staf yang buruk. Mereka sangat tidak yakin dengan pesanan dan makanan yang disediakan. Komunikasi yang buruk dengan staf lapangan mereka,NETRAL,NETRAL,NETRAL,BURUK,BURUK,2,0
Mantap kali rasanya,NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,5,1
"Mantul abis, setiap hari ada paket promosi",NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,5,1
Martabak Asin Daging top banget..dagingnya banyak dan martabaknya tebal dan banyak..rasanya juga enak dengan kulit luar martabaknya yang renyah.,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,4,1
"Martabak telur tuna, itu bener bener engga berasa banget sumpah nyesel mesennya. Mana harganya bikin dompet amsyong lagi sialan banget dah nyesel.",BURUK,NETRAL,NETRAL,BURUK,NETRAL,2,0
Masak ngak matang,BURUK,NETRAL,NETRAL,BURUK,NETRAL,2,0
"Masakannya enak bangeett, sambalnya terasa, tempatnya nyaman dan bersih, bagus untuk foto2, pelayannya mantap.
Recommended sekaliii gaesss",BAGUS,BAGUS,NETRAL,BAGUS,BAGUS,5,1
Masakannya wangi,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
Masih ada pelayan yang sering bermain ponsel dan tidak menyelesaikan pekerjaannya,NETRAL,NETRAL,NETRAL,BURUK,BURUK,2,0
Masih butuh banyak yang diperbaiki,BURUK,NETRAL,NETRAL,BURUK,BURUK,1,0
"Masih heran dengan orang yang bilng ini enak, dari 10 menu yang dipesan hanya 3 yang enak. ayam nya sudah tidak segar, keras, seperti tidak layak untuk dimakan",BURUK,NETRAL,NETRAL,BURUK,BURUK,2,0
"Masih jadi sate padang terenak di Jakarta, pesenya yg campur biar ngerasain uniknya jantung dll, side dish nya jangan lupa pesen jangek siram minimal 2 itu maknyus banget perpaduanya ??????",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
Medingan makan di tempat lain,BURUK,BURUK,NETRAL,BURUK,BURUK,1,0
"Meja masih sangat kotor, padahal rumah makan sudah sepi",BURUK,BURUK,BURUK,BURUK,BURUK,1,0
"Meja pelanggan dibersihkan dengan detail, tidak ada sisa kotoran atau sampah",NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,5,1
Mejanya berdebu,NETRAL,NETRAL,NETRAL,BURUK,NETRAL,1,0
Memutuskan untuk makan malam disini bersama klien. ternyata memberikan layanan yang buruk. ini membuat saya kecewa dan malu kepada klien saya,NETRAL,NETRAL,NETRAL,BURUK,BURUK,2,0
Memutuskan untuk makan malam disini bersama klien. ternyata memberikan layanan yang buruk. ini membuat saya kecewa dan malu kepada klien saya,NETRAL,NETRAL,NETRAL,BURUK,BURUK,1,0
Mendatangi rumah makan ini jauh2 memberikan kebahagiaan tersendiri. sangat senang bisa mencoba restoran ini,BAGUS,NETRAL,NETRAL,BAGUS,BAGUS,5,1
Mending di tempat lain,NETRAL,NETRAL,NETRAL,BURUK,NETRAL,1,0
Mendingan cari tempat lain deh buat makan,BURUK,BURUK,BURUK,BURUK,BURUK,1,0
Mengecewakan sekali,BURUK,BURUK,BURUK,BURUK,BURUK,1,0
"Mengecewakan... semua menu bnyk tidak ada. Yg ada di menu hny 20% saja yg ada. Sampai minum pun cuma ada teh saja.
Pengalaman aneh seumur hidup, biasanya rumah makan padang komplit dgn seluruh lauknya, kali ini zonk. Spt sengaja tdk disiapkan dgn baik, pelayanannya luamaaa banget.
Untuk rumah makan padang premium spt ini sangat tdk reccomended ????????????",BURUK,NETRAL,NETRAL,NETRAL,NETRAL,1,0
Menggiurkan makanannya,NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,5,1
"Menggunakan ayam fresh, jadinya enak banget",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
Menu cepat dimasak,NETRAL,NETRAL,NETRAL,NETRAL,BAGUS,5,1
Menu cepat sampai,NETRAL,NETRAL,NETRAL,NETRAL,BAGUS,5,1
Menu di gojek ga lengkap,NETRAL,NETRAL,NETRAL,BURUK,NETRAL,1,0
"Menu makanan khas Indonesia sekali, Recommended!!",BAGUS,BAGUS,NETRAL,BAGUS,BAGUS,5,1
"Menu makanan tidak enak, restoran masih menggunakan furniture lama, tidak update dan masih terlihat kuno. padahal kan skg sudah zaman nya estetik",BURUK,NETRAL,NETRAL,BURUK,NETRAL,1,0
"Menu makanannya enak dan tempatnya nyaman. Trims

Ini sudah ke beberapa kali nya ke tempat ini, dan tidak kecewa",BAGUS,NETRAL,NETRAL,BAGUS,BAGUS,5,1
Menu nusantara paling lengkap,NETRAL,NETRAL,NETRAL,NETRAL,NETRAL,5,1
Menu nya gaada yg special sih,NETRAL,NETRAL,NETRAL,BURUK,NETRAL,1,0
Menu sedikit sekali,NETRAL,NETRAL,NETRAL,BURUK,NETRAL,2,0
Menu tidak ada rasa,BURUK,NETRAL,NETRAL,BURUK,NETRAL,1,0
Menu yang diberikan masih fresh,NETRAL,NETRAL,NETRAL,BAGUS,NETRAL,4,1
Menu yang disediakan kurang menarik,NETRAL,NETRAL,NETRAL,BURUK,NETRAL,2,0
"Menu yang disediakan sangat inovatif, layak untuk dicoba",NETRAL,NETRAL,NETRAL,BAGUS,NETRAL,4,1
Menunya dikit amat,NETRAL,NETRAL,NETRAL,BURUK,NETRAL,2,0
"Menunya enak-enak... Terutama tumis buncisnya... Suasana tempatnya juga enak... Bisa makan sambil ngobrol santai, atau santai sambil makan... Rekomen????",BAGUS,NETRAL,BAGUS,BAGUS,BAGUS,4,1
Menunya lengkap,NETRAL,NETRAL,NETRAL,NETRAL,NETRAL,5,1
Menunya so-so,NETRAL,NETRAL,NETRAL,NETRAL,NETRAL,2,0
"Menurut saya, Nasi Goreng disini adalah menu yg sangat enak...",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,4,1
"Menyenangkan, menunggu makanannya tidak lama, rasanya enak, tempatnya ramai dan nyaman, kebersihan terjaga dan higienis. Makanpun jadi tidak ragu bersama orang tersayang.",BAGUS,NETRAL,BAGUS,BAGUS,BAGUS,4,1
Menyesal makan di sini,BURUK,NETRAL,NETRAL,BURUK,NETRAL,1,0
Menyesal pesan di sini,BURUK,NETRAL,NETRAL,BURUK,BURUK,2,0
"Menyesal, ngak mau balik lagi",BURUK,NETRAL,NETRAL,BURUK,NETRAL,1,0
Merugikan banget,BURUK,NETRAL,NETRAL,BURUK,BURUK,2,0
Minuman nya segar-segar semua,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,4,1
"Minuman nya terlalu manis, padahal sudah dipesan less sugar",BURUK,NETRAL,NETRAL,NETRAL,BURUK,1,0
Minuman nya tidak sesuai ekspektasi,BURUK,NETRAL,NETRAL,NETRAL,NETRAL,1,0
Minuman yang disediakan segar-segar sekali,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,4,1
"Minuman, makanan semuanya ada",NETRAL,NETRAL,NETRAL,NETRAL,NETRAL,4,1
Minumannya gelasnya kecil banget,NETRAL,NETRAL,NETRAL,BURUK,NETRAL,1,0
Minumannya menyegarkan,BAGUS,NETRAL,NETRAL,BAGUS,BAGUS,5,1
Minumannya nyegerin banget,BAGUS,NETRAL,NETRAL,BAGUS,BAGUS,5,1
"Minumannya seger2. cocok sekali disantap saat makan siang, apalagi ketika cuaca sangat panas. minum teh obeng nya pun sudah segar",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
"Minus banget di pelayanan yang lama, cita rasa makanan kurang, beberapa menu ga tersedia, mas-masnya susah dipanggil dan kayak bingung mau ngapain, mbaknya gak cuek juga sama pembeli.",BURUK,NETRAL,NETRAL,BURUK,BURUK,1,0
"Mohon maaf, tapi kebetulan waktu saya datang, makanannya jauh dari harapan. Butter rice nya kering, daging ayamnya tidak juicy, platternya juga sangat biasa saja, tidak ""wah"". Bahkan dip untuk platternya juga biasa saja. Mungkin waktu itu sedang blunder, mohon diperbaiki kualitas makanannya agar ratingnya tidak turun ??",BURUK,NETRAL,NETRAL,BURUK,BURUK,1,0
Mual mual habis makan di sini,BURUK,NETRAL,NETRAL,BURUK,NETRAL,1,0
"Murah dan enak. Gak pernah nyesal kalo makan disini. Varian menunya beragam. Dari ayam, ikan, dll",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
"Nah ini sableng enaknya memang.. hahaha.. gua ksini pesen cah kangkung, ikan bakar bawal dan cumi bakar.. wow endes! Puas deh makan disini.",BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
Nanggung porsinya,NETRAL,NETRAL,NETRAL,BURUK,NETRAL,2,0
Nasi dan ayamnya enak. Hanya agak berminyak. Mungkin sesuai dgn namanya lengket ??. Good try........,BAGUS,NETRAL,NETRAL,NETRAL,NETRAL,5,1
